Section,Content,Question,Options,Answer,Note
Listening,"男の人：すみません、田中さん。明日のパーティーは何時からですか。
女の人：明日の午後６時からです。
男の人：どこでありますか。
女の人：駅の前のレストランです。
男の人：そうですか。会費はいくらですか。
女の人：二千円です。飲み物は私が買いますから、田中さんは食べ物を持ってきてください。",パーティーは何時に始まりますか。,"[""\u5348\u5f8c\uff14\u6642"", ""\u5348\u5f8c\uff15\u6642"", ""\u5348\u5f8c\uff16\u6642"", ""\u5348\u5f8c\uff17\u6642""]",C,The woman says '午後６時からです' (It starts from 6 PM).
Listening,"男の人：すみません、田中さん。明日のパーティーは何時からですか。
女の人：明日の午後６時からです。
男の人：どこでありますか。
女の人：駅の前のレストランです。
男の人：そうですか。会費はいくらですか。
女の人：二千円です。飲み物は私が買いますから、田中さんは食べ物を持ってきてください。",パーティーはどこでありますか。,"[""\u7530\u4e2d\u3055\u3093\u306e\u5bb6"", ""\u99c5\u306e\u524d\u306e\u30ec\u30b9\u30c8\u30e9\u30f3"", ""\u5b66\u6821\u306e\u6559\u5ba4"", ""\u516c\u5712""]",B,The woman says '駅の前のレストランです' (It's at the restaurant in front of the station).
Listening,"男の人：すみません、田中さん。明日のパーティーは何時からですか。
女の人：明日の午後６時からです。
男の人：どこでありますか。
女の人：駅の前のレストランです。
男の人：そうですか。会費はいくらですか。
女の人：二千円です。飲み物は私が買いますから、田中さんは食べ物を持ってきてください。",会費はいくらですか。,"[""\u5343\u5186"", ""\u4e8c\u5343\u5186"", ""\u4e09\u5343\u5186"", ""\u4e94\u5343\u5186""]",B,"The woman says '二千円です' (It is 2,000 yen)."
Listening,"男の人：すみません、田中さん。明日のパーティーは何時からですか。
女の人：明日の午後６時からです。
男の人：どこでありますか。
女の人：駅の前のレストランです。
男の人：そうですか。会費はいくらですか。
女の人：二千円です。飲み物は私が買いますから、田中さんは食べ物を持ってきてください。",女の人は何を準備しますか。,"[""\u98df\u3079\u7269"", ""\u98f2\u307f\u7269"", ""\u304a\u83d3\u5b50"", ""\u30d7\u30ec\u30bc\u30f3\u30c8""]",B,The woman says '飲み物は私が買います' (I will buy the drinks).
Listening,"男の人：すみません、田中さん。明日のパーティーは何時からですか。
女の人：明日の午後６時からです。
男の人：どこでありますか。
女の人：駅の前のレストランです。
男の人：そうですか。会費はいくらですか。
女の人：二千円です。飲み物は私が買いますから、田中さんは食べ物を持ってきてください。",男の人は何を持って行きますか。,"[""\u98f2\u307f\u7269"", ""\u304a\u91d1\u3060\u3051"", ""\u98df\u3079\u7269"", ""\u30ab\u30e1\u30e9""]",C,The woman asks the man to bring food: '田中さんは食べ物を持ってきてください'.
Listening,"女の人：佐藤さん、そのかばんは新しいですね。どこで買いましたか。
男の人：これは誕生日に姉からもらいました。
女の人：いいですね。いくらでしたか。
男の人：姉は五千円ぐらいだと言っていました。デパートで買ったそうです。
女の人：私もそんなかばんが欲しいです。",男の人はかばんをどうしましたか。,"[""\u30c7\u30d1\u30fc\u30c8\u3067\u8cb7\u3063\u305f"", ""\u59c9\u306b\u3082\u3089\u3063\u305f"", ""\u53cb\u9054\u306b\u501f\u308a\u305f"", ""\u81ea\u5206\u3067\u4f5c\u3063\u305f""]",B,The man says '姉からもらいました' (I received it from my older sister).
Listening,"女の人：佐藤さん、そのかばんは新しいですね。どこで買いましたか。
男の人：これは誕生日に姉からもらいました。
女の人：いいですね。いくらでしたか。
男の人：姉は五千円ぐらいだと言っていました。デパートで買ったそうです。
女の人：私もそんなかばんが欲しいです。",かばんはいくらぐらいですか。,"[""\u4e09\u5343\u5186"", ""\u56db\u5343\u5186"", ""\u4e94\u5343\u5186"", ""\u516d\u5343\u5186""]",C,"The man says '五千円ぐらいだと言っていました' (She said it was about 5,000 yen)."
Listening,"女の人：佐藤さん、そのかばんは新しいですね。どこで買いましたか。
男の人：これは誕生日に姉からもらいました。
女の人：いいですね。いくらでしたか。
男の人：姉は五千円ぐらいだと言っていました。デパートで買ったそうです。
女の人：私もそんなかばんが欲しいです。",姉はどこでかばんを買いましたか。,"[""\u30b9\u30fc\u30d1\u30fc"", ""\u30c7\u30d1\u30fc\u30c8"", ""\u30b3\u30f3\u30d3\u30cb"", ""\u30a4\u30f3\u30bf\u30fc\u30cd\u30c3\u30c8""]",B,The man mentions 'デパートで買ったそうです' (I heard she bought it at a department store).
Listening,"女の人：佐藤さん、そのかばんは新しいですね。どこで買いましたか。
男の人：これは誕生日に姉からもらいました。
女の人：いいですね。いくらでしたか。
男の人：姉は五千円ぐらいだと言っていました。デパートで買ったそうです。
女の人：私もそんなかばんが欲しいです。",男の人はいつかばんをもらいましたか。,"[""\u30af\u30ea\u30b9\u30de\u30b9"", ""\u304a\u6b63\u6708"", ""\u8a95\u751f\u65e5"", ""\u7d50\u5a5a\u8a18\u5ff5\u65e5""]",C,The man says '誕生日に' (On my birthday).
Listening,"女の人：佐藤さん、そのかばんは新しいですね。どこで買いましたか。
男の人：これは誕生日に姉からもらいました。
女の人：いいですね。いくらでしたか。
男の人：姉は五千円ぐらいだと言っていました。デパートで買ったそうです。
女の人：私もそんなかばんが欲しいです。",女の人は今どう思っていますか。,"[""\u304b\u3070\u3093\u304c\u5acc\u3044\u3060"", ""\u304b\u3070\u3093\u304c\u6b32\u3057\u3044"", ""\u304b\u3070\u3093\u3092\u3042\u3052\u305f\u3044"", ""\u304b\u3070\u3093\u3092\u58f2\u308a\u305f\u3044""]",B,The woman says '私もそんなかばんが欲しいです' (I want a bag like that too).
Grammar,わたしは まいにち りんご（　）たべます。,（　）になにをいれますか。,"[""\u304c"", ""\u3092"", ""\u306b"", ""\u3078""]",B,The particle 'o' marks the direct object of the verb 'tabemasu' (eat).
Grammar,きのうは あめ（　）でした。,（　）になにをいれますか。,"[""\u3060"", ""\u306a"", ""\u306e"", ""\uff08\u306a\u306b\u3082\u3044\u308c\u306a\u3044\uff09""]",D,Nouns are followed directly by 'deshita' in the past polite form.
Grammar,つくえの うえに 本が さんさつ（　）あります。,（　）になにをいれますか。,"[""\u3082"", ""\u306f"", ""\u304c"", ""\uff08\u306a\u306b\u3082\u3044\u308c\u306a\u3044\uff09""]",D,Counters like 'sansatsu' usually don't require a particle when used adverbially.
Grammar,いっしょに えいがを（　）ませんか。,（　）になにをいれますか。,"[""\u307f\u308b"", ""\u307f\u307e\u3059"", ""\u307f"", ""\u307f\u3066""]",C,The structure for invitation is Verb stem + masenka.
